"order","file_path","thumbnail","capture_uuid","page_uri","book_uri","source_rotated","width","height","source_x","source_y","source_w","source_h"
105,"freecen_poc/01.01.crop.deskew.jpg","freecen_poc/01.01.crop.deskew.thumb.jpg",1,,,0,1937,1482,0,0,1937,1482
106,"freecen_poc/01.02.crop.deskew.jpg","freecen_poc/01.02.crop.deskew.thumb.jpg",2,,,0,1927,1484,0,0,1927,1484
107,"freecen_poc/01.03.crop.deskew.jpg","freecen_poc/01.03.crop.deskew.thumb.jpg",3,,,0,1928,1484,0,0,1928,1484
108,"freecen_poc/01.04.crop.deskew.jpg","freecen_poc/01.04.crop.deskew.thumb.jpg",4,,,0,1925,1515,0,0,1925,1515
