order,file_path,thumbnail,capture_uuid,page_uri,book_uri,source_rotated,width,height,source_x,source_y,source_w,source_h
2053,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2054/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2054/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2053,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2053,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3672,4548,0,0,3672,4548
2054,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2055/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2055/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2054,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2054,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3516,4549,0,0,3516,4549
2055,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2056/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2056/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2055,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2055,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3664,4544,0,0,3664,4544
2056,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2057/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2057/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2056,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2056,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3518,4548,0,0,3518,4548
2057,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2058/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2058/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2057,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2057,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3672,4547,0,0,3672,4547
2058,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2059/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2059/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2058,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2058,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3526,4551,0,0,3526,4551
2059,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2060/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2060/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2059,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2059,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3672,4548,0,0,3672,4548
2060,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2061/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2061/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2060,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2060,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3520,4551,0,0,3520,4551
2061,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2062/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2062/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2061,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2061,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3672,4545,0,0,3672,4545
2062,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2063/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2063/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2062,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2062,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3523,4548,0,0,3523,4548
2063,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2064/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2064/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2063,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2063,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3664,4548,0,0,3664,4548
2064,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2065/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2065/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2064,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2064,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3518,4553,0,0,3518,4553
2065,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2066/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2066/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2065,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2065,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3672,4547,0,0,3672,4547
2066,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2067/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2067/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2066,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2066,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3520,4551,0,0,3520,4551
2067,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2068/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2068/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2067,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2067,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3672,4544,0,0,3672,4544
2068,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2069/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2069/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2068,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2068,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3514,4548,0,0,3514,4548
2069,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2070/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2070/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2069,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2069,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3672,4546,0,0,3672,4546
2070,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2071/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2071/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2070,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2070,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3525,4552,0,0,3525,4552
